Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Querying and Reporting,CP-10,10067,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:57 PM,24/Aug/23 2:57 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,10061,Technical Task,To Do
Exploratory Data Analysis (EDA),CP-9,10066,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:57 PM,24/Aug/23 2:57 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,10061,Technical Task,To Do
Data Storage and Management,CP-8,10065,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:57 PM,24/Aug/23 2:57 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,10061,Technical Task,To Do
Data Transformation and Enrichment,CP-7,10064,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:57 PM,24/Aug/23 2:57 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,10061,Technical Task,To Do
Data Cleaning and Preprocessing,CP-6,10063,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:52 PM,24/Aug/23 2:52 PM,24/Aug/23 2:53 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,10061,Technical Task,To Do
1) Data Collection and Integration,CP-5,10062,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:51 PM,24/Aug/23 2:52 PM,24/Aug/23 2:56 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,,,,,,,,10061,Technical Task,To Do
Technical Task,CP-4,10061,Story,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:50 PM,24/Aug/23 2:50 PM,24/Aug/23 2:57 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,,,To Do
solution documents,CP-3,10060,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:48 PM,24/Aug/23 2:48 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,DS Sprint 1,,,,,,,,,,10058,Specification documents,To Do
required specific documents,CP-2,10059,Subtask,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:47 PM,24/Aug/23 2:47 PM,24/Aug/23 2:58 PM,,,0,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,DS Sprint 1,,,,,,,,,,10058,Specification documents,To Do
Specification documents,CP-1,10058,Story,To Do,CP,Capstone Project,software,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,,Medium,,,,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,"G. C., Soakshya",712020:9bd2a7ac-d9c3-4dea-b02a-bee13a1889ca,24/Aug/23 2:41 PM,24/Aug/23 2:41 PM,24/Aug/23 2:42 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,DS Sprint 1,,,,,,,,,,,,To Do
